Id,Id2,Geography,Estimate; HISPANIC OR LATINO AND RACE - Total population,Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races
310M200US18700,18700,"Corvallis, OR Metro Area",86495,*****,86495,(X),5975,*****,6.9,*****,80520,*****,93.1,*****,71146,78,82.3,0.1,736,167,0.9,0.2,506,130,0.6,0.2,5271,204,6.1,0.2,279,54,0.3,0.1,87,70,0.1,0.1,2495,329,2.9,0.4
310M200US18740,18740,"Coshocton, OH Micro Area",36724,*****,36724,(X),330,*****,0.9,*****,36394,*****,99.1,*****,35337,31,96.2,0.1,390,111,1.1,0.3,36,51,0.1,0.1,141,24,0.4,0.1,0,23,0,0.1,21,31,0.1,0.1,469,124,1.3,0.3
310M200US18780,18780,"Craig, CO Micro Area",13117,*****,13117,(X),1873,*****,14.3,*****,11244,*****,85.7,*****,10777,33,82.2,0.3,64,70,0.5,0.5,129,109,1,0.8,96,82,0.7,0.6,102,83,0.8,0.6,30,33,0.2,0.3,46,43,0.4,0.3
310M200US18820,18820,"Crawfordsville, IN Micro Area",38172,*****,38172,(X),1733,*****,4.5,*****,36439,*****,95.5,*****,35318,12,92.5,0.1,326,99,0.9,0.3,102,32,0.3,0.1,205,76,0.5,0.2,4,8,0,0.1,0,24,0,0.1,484,126,1.3,0.3
310M200US18860,18860,"Crescent City, CA Micro Area",27788,*****,27788,(X),5300,*****,19.1,*****,22488,*****,80.9,*****,17582,53,63.3,0.2,787,156,2.8,0.6,1339,222,4.8,0.8,594,146,2.1,0.5,79,55,0.3,0.2,27,32,0.1,0.1,2080,262,7.5,0.9
310M200US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",251724,*****,251724,(X),19141,*****,7.6,*****,232583,*****,92.4,*****,194628,268,77.3,0.1,20040,731,8,0.3,1602,320,0.6,0.1,6115,391,2.4,0.2,443,185,0.2,0.1,459,281,0.2,0.1,9296,904,3.7,0.4
310M200US18900,18900,"Crossville, TN Micro Area",57455,*****,57455,(X),1556,*****,2.7,*****,55899,*****,97.3,*****,54547,74,94.9,0.1,341,79,0.6,0.1,177,71,0.3,0.1,239,93,0.4,0.2,0,28,0,0.1,0,28,0,0.1,595,158,1,0.3
310M200US18980,18980,"Cullman, AL Micro Area",80965,*****,80965,(X),3493,*****,4.3,*****,77472,*****,95.7,*****,74635,133,92.2,0.2,857,110,1.1,0.1,331,131,0.4,0.2,451,31,0.6,0.1,18,20,0,0.1,70,105,0.1,0.1,1110,168,1.4,0.2
310M200US19000,19000,"Cullowhee, NC Micro Area",40812,*****,40812,(X),2159,*****,5.3,*****,38653,*****,94.7,*****,33052,68,81,0.2,911,64,2.2,0.2,3435,267,8.4,0.7,354,65,0.9,0.2,25,37,0.1,0.1,97,83,0.2,0.2,779,264,1.9,0.6
310M200US19060,19060,"Cumberland, MD-WV Metro Area",101304,*****,101304,(X),1423,*****,1.4,*****,99881,*****,98.6,*****,90590,41,89.4,0.1,6621,257,6.5,0.3,105,37,0.1,0.1,719,86,0.7,0.1,45,43,0,0.1,70,47,0.1,0.1,1731,265,1.7,0.3
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6833420,*****,6833420,(X),1915142,*****,28,*****,4918278,*****,72,*****,3336093,1202,48.8,0.1,1013785,2868,14.8,0.1,18607,1026,0.3,0.1,400798,2664,5.9,0.1,6412,539,0.1,0.1,9827,1364,0.1,0.1,132756,3916,1.9,0.1
310M200US19140,19140,"Dalton, GA Metro Area",142857,*****,142857,(X),39691,*****,27.8,*****,103166,*****,72.2,*****,95479,87,66.8,0.1,4432,191,3.1,0.1,190,142,0.1,0.1,1599,144,1.1,0.1,0,30,0,0.1,88,87,0.1,0.1,1378,342,1,0.2
310M200US19180,19180,"Danville, IL Metro Area",80368,*****,80368,(X),3715,*****,4.6,*****,76653,*****,95.4,*****,63786,44,79.4,0.1,11073,171,13.8,0.2,201,65,0.3,0.1,657,99,0.8,0.1,33,50,0,0.1,60,52,0.1,0.1,843,200,1,0.2
310M200US19220,19220,"Danville, KY Micro Area",53886,*****,53886,(X),1283,*****,2.4,*****,52603,*****,97.6,*****,48513,31,90,0.1,2683,173,5,0.3,44,43,0.1,0.1,317,85,0.6,0.2,9,14,0,0.1,28,29,0.1,0.1,1009,165,1.9,0.3
310M200US19260,19260,"Danville, VA Micro Area",105244,*****,105244,(X),2906,*****,2.8,*****,102338,*****,97.2,*****,65743,65,62.5,0.1,33979,379,32.3,0.4,93,49,0.1,0.1,733,52,0.7,0.1,22,25,0,0.1,48,56,0,0.1,1720,375,1.6,0.4
310M200US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",195121,*****,195121,(X),8776,*****,4.5,*****,186345,*****,95.5,*****,162153,168,83.1,0.1,18533,536,9.5,0.3,1094,294,0.6,0.2,1294,330,0.7,0.2,0,27,0,0.1,188,177,0.1,0.1,3083,660,1.6,0.3
310M200US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",383145,*****,383145,(X),31427,*****,8.2,*****,351718,*****,91.8,*****,308363,191,80.5,0.1,27412,701,7.2,0.2,714,163,0.2,0.1,7293,287,1.9,0.1,39,19,0,0.1,322,190,0.1,0.1,7575,797,2,0.2
310M200US19380,19380,"Dayton, OH Metro Area",801472,*****,801472,(X),19223,*****,2.4,*****,782249,*****,97.6,*****,619382,274,77.3,0.1,123321,1294,15.4,0.2,1426,286,0.2,0.1,16690,558,2.1,0.1,174,72,0,0.1,1118,397,0.1,0.1,20138,1449,2.5,0.2
310M200US19420,19420,"Dayton, TN Micro Area",32394,*****,32394,(X),1422,*****,4.4,*****,30972,*****,95.6,*****,29566,14,91.3,0.1,796,138,2.5,0.4,46,43,0.1,0.1,26,30,0.1,0.1,0,25,0,0.1,8,14,0,0.1,530,137,1.6,0.4
310M200US19460,19460,"Decatur, AL Metro Area",153372,*****,153372,(X),10055,*****,6.6,*****,143317,*****,93.4,*****,117716,42,76.8,0.1,18380,318,12,0.2,2418,354,1.6,0.2,757,163,0.5,0.1,99,122,0.1,0.1,25,31,0,0.1,3922,468,2.6,0.3
310M200US19500,19500,"Decatur, IL Metro Area",109193,*****,109193,(X),2247,*****,2.1,*****,106946,*****,97.9,*****,84423,82,77.3,0.1,15968,585,14.6,0.5,216,139,0.2,0.1,1316,106,1.2,0.1,25,34,0,0.1,108,64,0.1,0.1,4890,554,4.5,0.5
310M200US19540,19540,"Decatur, IN Micro Area",34642,*****,34642,(X),1510,*****,4.4,*****,33132,*****,95.6,*****,32584,44,94.1,0.1,242,36,0.7,0.1,39,28,0.1,0.1,109,24,0.3,0.1,0,24,0,0.1,27,42,0.1,0.1,131,53,0.4,0.2
310M200US19580,19580,"Defiance, OH Micro Area",38669,*****,38669,(X),3657,*****,9.5,*****,35012,*****,90.5,*****,33645,17,87,0.1,650,59,1.7,0.2,105,49,0.3,0.1,131,41,0.3,0.1,6,9,0,0.1,14,18,0,0.1,461,91,1.2,0.2
310M200US19620,19620,"Del Rio, TX Micro Area",48980,*****,48980,(X),39377,*****,80.4,*****,9603,*****,19.6,*****,8287,12,16.9,0.1,418,172,0.9,0.4,43,47,0.1,0.1,201,78,0.4,0.2,69,68,0.1,0.1,0,27,0,0.1,585,185,1.2,0.4
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",604502,*****,604502,(X),70428,*****,11.7,*****,534074,*****,88.3,*****,448046,476,74.1,0.1,62477,942,10.3,0.2,1483,326,0.2,0.1,10848,459,1.8,0.1,219,61,0,0.1,1360,575,0.2,0.1,9641,1102,1.6,0.2
310M200US19700,19700,"Deming, NM Micro Area",24789,*****,24789,(X),15898,*****,64.1,*****,8891,*****,35.9,*****,8183,21,33,0.1,255,21,1,0.1,233,162,0.9,0.7,95,85,0.4,0.3,18,30,0.1,0.1,0,21,0,0.1,107,114,0.4,0.5
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",2703972,*****,2703972,(X),615397,187,22.8,0.1,2088575,187,77.2,0.1,1758848,730,65,0.1,145016,1484,5.4,0.1,11578,768,0.4,0.1,102175,1567,3.8,0.1,3076,313,0.1,0.1,5273,881,0.2,0.1,62609,2164,2.3,0.1
310M200US19760,19760,"DeRidder, LA Micro Area",36259,*****,36259,(X),1263,*****,3.5,*****,34996,*****,96.5,*****,28870,15,79.6,0.1,4732,131,13.1,0.4,299,71,0.8,0.2,217,84,0.6,0.2,0,25,0,0.1,13,14,0,0.1,865,173,2.4,0.5
310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",601187,*****,601187,(X),42133,*****,7,*****,559054,*****,93,*****,495357,387,82.4,0.1,28843,762,4.8,0.1,863,271,0.1,0.1,20640,485,3.4,0.1,444,115,0.1,0.1,799,377,0.1,0.1,12108,946,2,0.2
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",4296416,*****,4296416,(X),177939,*****,4.1,*****,4118477,*****,95.9,*****,2889936,915,67.3,0.1,960157,1661,22.3,0.1,10513,675,0.2,0.1,161003,1238,3.7,0.1,685,215,0,0.1,7440,967,0.2,0.1,88743,1982,2.1,0.1
310M200US19860,19860,"Dickinson, ND Micro Area",28628,*****,28628,(X),1246,*****,4.4,*****,27382,*****,95.6,*****,25858,16,90.3,0.1,319,123,1.1,0.4,267,141,0.9,0.5,360,81,1.3,0.3,16,20,0.1,0.1,0,16,0,0.1,562,198,2,0.7
310M200US19940,19940,"Dixon, IL Micro Area",35027,*****,35027,(X),1975,*****,5.6,*****,33052,*****,94.4,*****,30523,3,87.1,0.1,1735,106,5,0.3,72,21,0.2,0.1,257,47,0.7,0.1,58,46,0.2,0.1,17,21,0,0.1,390,95,1.1,0.3
310M200US19980,19980,"Dodge City, KS Micro Area",34714,*****,34714,(X),18319,*****,52.8,*****,16395,*****,47.2,*****,14517,31,41.8,0.1,803,141,2.3,0.4,133,68,0.4,0.2,457,111,1.3,0.3,6,9,0,0.1,10,14,0,0.1,469,196,1.4,0.6
310M200US20020,20020,"Dothan, AL Metro Area",147601,*****,147601,(X),4740,*****,3.2,*****,142861,*****,96.8,*****,104391,61,70.7,0.1,34354,354,23.3,0.2,405,81,0.3,0.1,1107,368,0.7,0.2,22,32,0,0.1,204,117,0.1,0.1,2378,219,1.6,0.1
310M200US20060,20060,"Douglas, GA Micro Area",43003,*****,43003,(X),4672,*****,10.9,*****,38331,*****,89.1,*****,25517,73,59.3,0.2,12107,250,28.2,0.6,59,76,0.1,0.2,254,262,0.6,0.6,0,27,0,0.1,159,150,0.4,0.3,235,112,0.5,0.3
310M200US20100,20100,"Dover, DE Metro Area",169509,*****,169509,(X),11096,*****,6.5,*****,158413,*****,93.5,*****,107946,103,63.7,0.1,39709,569,23.4,0.3,941,150,0.6,0.1,3513,326,2.1,0.2,47,60,0,0.1,421,195,0.2,0.1,5836,715,3.4,0.4
310M200US20140,20140,"Dublin, GA Micro Area",57680,*****,57680,(X),1238,33,2.1,0.1,56442,33,97.9,0.1,34534,30,59.9,0.1,20643,220,35.8,0.4,54,50,0.1,0.1,685,196,1.2,0.3,0,30,0,0.1,14,32,0,0.1,512,122,0.9,0.2
310M200US20180,20180,"DuBois, PA Micro Area",81343,*****,81343,(X),2250,*****,2.8,*****,79093,*****,97.2,*****,75983,30,93.4,0.1,1822,95,2.2,0.1,108,39,0.1,0.1,421,71,0.5,0.1,0,23,0,0.1,18,25,0,0.1,741,131,0.9,0.2
310M200US20220,20220,"Dubuque, IA Metro Area",95906,*****,95906,(X),2066,*****,2.2,*****,93840,*****,97.8,*****,88302,12,92.1,0.1,1849,271,1.9,0.3,74,55,0.1,0.1,1259,112,1.3,0.1,300,21,0.3,0.1,8,12,0,0.1,2048,294,2.1,0.3
310M200US20260,20260,"Duluth, MN-WI Metro Area",279748,*****,279748,(X),4018,*****,1.4,*****,275730,*****,98.6,*****,255542,33,91.3,0.1,3966,255,1.4,0.1,6328,470,2.3,0.2,2763,181,1,0.1,89,30,0,0.1,67,36,0,0.1,6975,509,2.5,0.2
310M200US20300,20300,"Dumas, TX Micro Area",22281,*****,22281,(X),11729,*****,52.6,*****,10552,*****,47.4,*****,7805,75,35,0.3,565,25,2.5,0.1,83,54,0.4,0.2,1890,49,8.5,0.2,0,24,0,0.2,53,75,0.2,0.3,156,74,0.7,0.3
310M200US20340,20340,"Duncan, OK Micro Area",44806,*****,44806,(X),3063,*****,6.8,*****,41743,*****,93.2,*****,36451,35,81.4,0.1,853,124,1.9,0.3,2538,241,5.7,0.5,228,52,0.5,0.1,21,19,0,0.1,25,32,0.1,0.1,1627,292,3.6,0.7
310M200US20380,20380,"Dunn, NC Micro Area",124320,*****,124320,(X),14541,*****,11.7,*****,109779,*****,88.3,*****,78090,209,62.8,0.2,25330,508,20.4,0.4,1206,162,1,0.1,1347,170,1.1,0.1,6,14,0,0.1,412,253,0.3,0.2,3388,570,2.7,0.5
310M200US20420,20420,"Durango, CO Micro Area",53182,*****,53182,(X),6625,*****,12.5,*****,46557,*****,87.5,*****,42314,12,79.6,0.1,187,78,0.4,0.1,2654,199,5,0.4,381,64,0.7,0.1,62,57,0.1,0.1,14,11,0,0.1,945,224,1.8,0.4
310M200US20460,20460,"Durant, OK Micro Area",44003,*****,44003,(X),2391,*****,5.4,*****,41612,*****,94.6,*****,31960,12,72.6,0.1,833,67,1.9,0.2,6358,347,14.4,0.8,219,58,0.5,0.1,12,17,0,0.1,11,12,0,0.1,2219,359,5,0.8
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",534154,*****,534154,(X),60442,*****,11.3,*****,473712,*****,88.7,*****,292439,251,54.7,0.1,141841,912,26.6,0.2,2099,291,0.4,0.1,24445,430,4.6,0.1,197,147,0,0.1,1198,348,0.2,0.1,11493,1063,2.2,0.2
310M200US20540,20540,"Dyersburg, TN Micro Area",38054,*****,38054,(X),1149,*****,3,*****,36905,*****,97,*****,30552,25,80.3,0.1,5078,333,13.3,0.9,86,58,0.2,0.2,221,41,0.6,0.1,6,11,0,0.1,17,28,0,0.1,945,336,2.5,0.9
310M200US20580,20580,"Eagle Pass, TX Micro Area",56548,*****,56548,(X),53820,*****,95.2,*****,2728,*****,4.8,*****,1779,30,3.1,0.1,49,47,0.1,0.1,522,198,0.9,0.3,279,216,0.5,0.4,15,23,0,0.1,0,30,0,0.1,84,86,0.1,0.2
310M200US20660,20660,"Easton, MD Micro Area",37799,*****,37799,(X),2256,*****,6,*****,35543,*****,94,*****,29553,168,78.2,0.4,4440,285,11.7,0.8,30,31,0.1,0.1,560,26,1.5,0.1,23,35,0.1,0.1,141,168,0.4,0.4,796,280,2.1,0.7
310M200US20700,20700,"East Stroudsburg, PA Metro Area",167881,*****,167881,(X),23909,*****,14.2,*****,143972,*****,85.8,*****,114983,367,68.5,0.2,21343,534,12.7,0.3,403,140,0.2,0.1,3640,239,2.2,0.1,35,41,0,0.1,492,369,0.3,0.2,3076,652,1.8,0.4
310M200US20740,20740,"Eau Claire, WI Metro Area",164490,*****,164490,(X),3126,*****,1.9,*****,161364,*****,98.1,*****,151789,51,92.3,0.1,1559,204,0.9,0.1,577,119,0.4,0.1,4215,245,2.6,0.1,103,103,0.1,0.1,66,65,0,0.1,3055,365,1.9,0.2
310M200US20780,20780,"Edwards, CO Micro Area",52576,*****,52576,(X),15767,*****,30,*****,36809,*****,70,*****,35237,47,67,0.1,313,77,0.6,0.1,184,79,0.3,0.2,551,143,1,0.3,39,45,0.1,0.1,48,49,0.1,0.1,437,166,0.8,0.3
310M200US20820,20820,"Effingham, IL Micro Area",34332,*****,34332,(X),638,*****,1.9,*****,33694,*****,98.1,*****,33120,37,96.5,0.1,117,42,0.3,0.1,20,23,0.1,0.1,187,32,0.5,0.1,7,11,0,0.1,46,40,0.1,0.1,197,59,0.6,0.2
310M200US20900,20900,"El Campo, TX Micro Area",41264,*****,41264,(X),16171,*****,39.2,*****,25093,*****,60.8,*****,19043,44,46.1,0.1,5839,119,14.2,0.3,2,4,0,0.1,23,25,0.1,0.1,0,27,0,0.1,31,44,0.1,0.1,155,118,0.4,0.3
310M200US20940,20940,"El Centro, CA Metro Area",178206,*****,178206,(X),145855,*****,81.8,*****,32351,*****,18.2,*****,22437,88,12.6,0.1,4530,177,2.5,0.1,1242,175,0.7,0.1,2422,205,1.4,0.1,111,65,0.1,0.1,109,85,0.1,0.1,1500,293,0.8,0.2
310M200US20980,20980,"El Dorado, AR Micro Area",40633,*****,40633,(X),1466,*****,3.6,*****,39167,*****,96.4,*****,24984,38,61.5,0.1,13323,81,32.8,0.2,210,95,0.5,0.2,222,65,0.5,0.2,0,24,0,0.1,20,38,0,0.1,408,151,1,0.4
310M200US21020,21020,"Elizabeth City, NC Micro Area",63677,*****,63677,(X),2367,*****,3.7,*****,61310,*****,96.3,*****,39803,51,62.5,0.1,19420,282,30.5,0.4,148,114,0.2,0.2,790,132,1.2,0.2,126,95,0.2,0.1,62,54,0.1,0.1,961,272,1.5,0.4
310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",150776,*****,150776,(X),7533,*****,5,*****,143243,*****,95,*****,121123,47,80.3,0.1,13666,440,9.1,0.3,344,137,0.2,0.1,2729,183,1.8,0.1,399,21,0.3,0.1,65,57,0,0.1,4917,483,3.3,0.3
310M200US21120,21120,"Elk City, OK Micro Area",23300,*****,23300,(X),3155,*****,13.5,*****,20145,*****,86.5,*****,17864,37,76.7,0.2,794,89,3.4,0.4,236,101,1,0.4,193,46,0.8,0.2,17,21,0.1,0.1,0,17,0,0.1,1041,159,4.5,0.7
310M200US21140,21140,"Elkhart-Goshen, IN Metro Area",200685,*****,200685,(X),29763,*****,14.8,*****,170922,*****,85.2,*****,152635,297,76.1,0.1,11206,509,5.6,0.3,218,75,0.1,0.1,2150,228,1.1,0.1,49,34,0,0.1,555,330,0.3,0.2,4109,524,2,0.3
310M200US21180,21180,"Elkins, WV Micro Area",29365,*****,29365,(X),233,*****,0.8,*****,29132,*****,99.2,*****,28254,27,96.2,0.1,557,115,1.9,0.4,62,47,0.2,0.2,52,63,0.2,0.2,0,20,0,0.1,3,7,0,0.1,204,96,0.7,0.3
310M200US21220,21220,"Elko, NV Micro Area",53231,188,53231,(X),12395,55,23.3,0.1,40836,186,76.7,0.1,36421,186,68.4,0.1,587,92,1.1,0.2,2653,99,5,0.2,475,108,0.9,0.2,135,18,0.3,0.1,3,6,0,0.1,562,161,1.1,0.3
310M200US21260,21260,"Ellensburg, WA Micro Area",42204,*****,42204,(X),3575,*****,8.5,*****,38629,*****,91.5,*****,35720,36,84.6,0.1,398,172,0.9,0.4,334,144,0.8,0.3,948,176,2.2,0.4,23,42,0.1,0.1,28,36,0.1,0.1,1178,295,2.8,0.7
310M200US21300,21300,"Elmira, NY Metro Area",88267,*****,88267,(X),2532,*****,2.9,*****,85735,*****,97.1,*****,76471,33,86.6,0.1,5060,339,5.7,0.4,376,144,0.4,0.2,1303,104,1.5,0.1,11,18,0,0.1,9,10,0,0.1,2505,370,2.8,0.4
310M200US21340,21340,"El Paso, TX Metro Area",834425,*****,834425,(X),678286,*****,81.3,*****,156139,*****,18.7,*****,111524,358,13.4,0.1,25458,514,3.1,0.1,2116,257,0.3,0.1,8721,474,1,0.1,1089,131,0.1,0.1,738,377,0.1,0.1,6493,829,0.8,0.1
310M200US21380,21380,"Emporia, KS Micro Area",33462,*****,33462,(X),6831,*****,20.4,*****,26631,*****,79.6,*****,24163,21,72.2,0.1,766,74,2.3,0.2,78,41,0.2,0.1,683,131,2,0.4,0,21,0,0.1,0,21,0,0.1,941,157,2.8,0.5
310M200US21420,21420,"Enid, OK Micro Area",62192,*****,62192,(X),6665,*****,10.7,*****,55527,*****,89.3,*****,48133,36,77.4,0.1,1903,186,3.1,0.3,1358,210,2.2,0.3,626,127,1,0.2,1287,33,2.1,0.1,30,36,0,0.1,2190,278,3.5,0.4
310M200US21460,21460,"Enterprise, AL Micro Area",50884,*****,50884,(X),3276,*****,6.4,*****,47608,*****,93.6,*****,36392,9,71.5,0.1,8753,218,17.2,0.4,414,98,0.8,0.2,627,98,1.2,0.2,0,27,0,0.1,33,35,0.1,0.1,1389,263,2.7,0.5
310M200US21500,21500,"Erie, PA Metro Area",279858,*****,279858,(X),10572,*****,3.8,*****,269286,*****,96.2,*****,239185,208,85.5,0.1,18730,493,6.7,0.2,596,111,0.2,0.1,3961,199,1.4,0.1,80,19,0,0.1,284,157,0.1,0.1,6450,544,2.3,0.2
310M200US21540,21540,"Escanaba, MI Micro Area",36712,*****,36712,(X),383,*****,1,*****,36329,*****,99,*****,34397,24,93.7,0.1,89,35,0.2,0.1,687,116,1.9,0.3,95,54,0.3,0.1,13,15,0,0.1,21,22,0.1,0.1,1027,116,2.8,0.3
310M200US21580,21580,"Espa–ola, NM Micro Area",39949,*****,39949,(X),28544,*****,71.5,*****,11405,*****,28.5,*****,5238,22,13.1,0.1,159,21,0.4,0.1,5574,91,14,0.2,144,34,0.4,0.1,3,5,0,0.1,47,35,0.1,0.1,240,96,0.6,0.2
310M200US21660,21660,"Eugene, OR Metro Area",357060,*****,357060,(X),28768,*****,8.1,*****,328292,*****,91.9,*****,297692,217,83.4,0.1,3395,281,1,0.1,3389,473,0.9,0.1,8861,555,2.5,0.2,764,176,0.2,0.1,523,203,0.1,0.1,13668,789,3.8,0.2
310M200US21700,21700,"Eureka-Arcata-Fortuna, CA Micro Area",135034,*****,135034,(X),14289,*****,10.6,*****,120745,*****,89.4,*****,102235,207,75.7,0.2,1537,223,1.1,0.2,6279,561,4.6,0.4,3558,257,2.6,0.2,424,91,0.3,0.1,307,216,0.2,0.2,6405,589,4.7,0.4
310M200US21740,21740,"Evanston, WY Micro Area",20930,*****,20930,(X),1858,*****,8.9,*****,19072,*****,91.1,*****,18378,21,87.8,0.1,41,40,0.2,0.2,79,68,0.4,0.3,25,29,0.1,0.1,0,21,0,0.1,0,21,0,0.1,549,67,2.6,0.3
310M200US21780,21780,"Evansville, IN-KY Metro Area",314263,*****,314263,(X),6742,*****,2.1,*****,307521,*****,97.9,*****,275265,256,87.6,0.1,20977,573,6.7,0.2,528,146,0.2,0.1,3490,283,1.1,0.1,171,46,0.1,0.1,544,230,0.2,0.1,6546,670,2.1,0.2
310M200US21820,21820,"Fairbanks, AK Metro Area",99705,*****,99705,(X),7356,*****,7.4,*****,92349,*****,92.6,*****,71649,18,71.9,0.1,4131,368,4.1,0.4,5719,559,5.7,0.6,2587,224,2.6,0.2,575,14,0.6,0.1,0,20,0,0.1,7688,665,7.7,0.7
310M200US21840,21840,"Fairfield, IA Micro Area",17318,*****,17318,(X),526,*****,3,*****,16792,*****,97,*****,14249,181,82.3,1,246,110,1.4,0.6,14,23,0.1,0.1,1372,296,7.9,1.7,0,15,0,0.1,336,252,1.9,1.5,575,302,3.3,1.7
310M200US21900,21900,"Fairmont, WV Micro Area",56790,*****,56790,(X),667,*****,1.2,*****,56123,*****,98.8,*****,52887,10,93.1,0.1,2039,158,3.6,0.3,70,68,0.1,0.1,293,102,0.5,0.2,12,19,0,0.1,0,26,0,0.1,822,210,1.4,0.4
310M200US21980,21980,"Fallon, NV Micro Area",24252,*****,24252,(X),3182,*****,13.1,*****,21070,*****,86.9,*****,18087,47,74.6,0.2,516,119,2.1,0.5,1073,103,4.4,0.4,647,170,2.7,0.7,76,69,0.3,0.3,28,47,0.1,0.2,643,215,2.7,0.9
310M200US22020,22020,"Fargo, ND-MN Metro Area",223379,*****,223379,(X),6272,*****,2.8,*****,217107,*****,97.2,*****,198914,70,89,0.1,6155,399,2.8,0.2,2362,338,1.1,0.2,4962,298,2.2,0.1,44,38,0,0.1,93,60,0,0.1,4577,615,2,0.3
310M200US22060,22060,"Faribault-Northfield, MN Micro Area",64886,*****,64886,(X),5065,*****,7.8,*****,59821,*****,92.2,*****,54743,29,84.4,0.1,2473,170,3.8,0.3,325,44,0.5,0.1,1478,113,2.3,0.2,50,61,0.1,0.1,21,31,0,0.1,731,215,1.1,0.3
310M200US22100,22100,"Farmington, MO Micro Area",66010,*****,66010,(X),922,*****,1.4,*****,65088,*****,98.6,*****,60906,28,92.3,0.1,3143,227,4.8,0.3,168,136,0.3,0.2,254,91,0.4,0.1,0,26,0,0.1,0,26,0,0.1,617,266,0.9,0.4
